zipcode,order,sorder,trend,AIC,BIC,CVRMSE
20002,"(1, 1, 2)","(1, 1, 0, 12)",,3028.2,3044.3,62879.4
20002,"(1, 1, 2)","(1, 1, 1, 12)",,2954.8,2974.1,61227.4
20002,"(1, 1, 2)","(1, 1, 2, 12)",,2727.3,2749.3,25063096.6
20002,"(1, 1, 2)","(2, 0, 0, 12)",,2907.6,2926.9,82997.5
20002,"(1, 1, 2)","(2, 0, 1, 12)",,2895.5,2918.1,89286.8
20002,"(1, 1, 2)","(2, 0, 2, 12)",,2855.1,2880.8,25073715.0
20002,"(1, 1, 2)","(2, 1, 0, 12)",,2821.9,2840.9,74617.4
20002,"(1, 1, 2)","(2, 1, 1, 12)",,2786.0,2808.1,71462.5
20002,"(1, 1, 2)","(2, 1, 2, 12)",,2739.8,2765.0,25047574.6
20002,"(2, 0, 0)","(0, 0, 0, 12)",,3319.0,3329.0,113768.9
20002,"(2, 0, 0)","(0, 0, 1, 12)",,3769.6,3782.7,93580.9
20002,"(2, 0, 0)","(0, 0, 2, 12)",,3135.7,3151.9,25466752.2
20002,"(2, 0, 0)","(0, 1, 0, 12)",,3259.8,3269.7,85584.1
20002,"(2, 0, 0)","(0, 1, 1, 12)",,3102.6,3115.5,50462.2
20002,"(2, 0, 0)","(0, 1, 2, 12)",,3328.9,3344.7,8171569647575045.0
20002,"(2, 0, 0)","(1, 0, 0, 12)",,3139.1,3152.2,69722.2
20002,"(2, 0, 0)","(1, 0, 1, 12)",,3132.3,3148.7,160003.7
20002,"(2, 0, 0)","(1, 0, 2, 12)",,3442.6,3462.0,25087795.1
20002,"(2, 0, 0)","(1, 1, 0, 12)",,3050.5,3063.4,207137.6
20002,"(2, 0, 0)","(1, 1, 1, 12)",,3151.2,3167.3,46966.6
20002,"(2, 0, 0)","(1, 1, 2, 12)",,2927.7,2946.7,8.041287265656073e+93
20002,"(2, 0, 0)","(2, 0, 0, 12)",,2938.3,2954.4,150277.7
20002,"(2, 0, 0)","(2, 0, 1, 12)",,3450.9,3470.2,837955.7
20002,"(2, 0, 0)","(2, 0, 2, 12)",,3028.4,3051.0,59757008.1
20002,"(2, 0, 0)","(2, 1, 0, 12)",,2822.4,2838.2,226999.7
20002,"(2, 0, 0)","(2, 1, 1, 12)",,2832.1,2851.0,244116.8
20002,"(2, 0, 0)","(2, 1, 2, 12)",,2823.6,2845.7,25100105.7
20002,"(2, 0, 1)","(0, 0, 0, 12)",,3319.5,3332.9,109959.7
20002,"(2, 0, 1)","(0, 0, 1, 12)",,3177.9,3194.4,116263.9
20002,"(2, 0, 1)","(0, 0, 2, 12)",,3944.1,3963.5,25105166.4
20002,"(2, 0, 1)","(0, 1, 0, 12)",,3261.1,3274.3,83592.5
20002,"(2, 0, 1)","(0, 1, 1, 12)",,3429.9,3446.0,68973.2
20002,"(2, 0, 1)","(0, 1, 2, 12)",,3490.7,3509.6,1.3309057952929569e+25
20002,"(2, 0, 1)","(1, 0, 0, 12)",,3095.0,3111.4,97489.6
20002,"(2, 0, 1)","(1, 0, 1, 12)",,3356.8,3376.5,100233.1
20002,"(2, 0, 1)","(1, 0, 2, 12)",,3720.2,3742.8,25123578.1
20002,"(2, 0, 1)","(1, 1, 0, 12)",,3048.1,3064.2,50210.6
20002,"(2, 0, 1)","(1, 1, 1, 12)",,3012.1,3031.5,75643.7
20002,"(2, 0, 1)","(1, 1, 2, 12)",,2803.8,2825.9,1.5483692323015348e+62
20002,"(2, 0, 1)","(2, 0, 0, 12)",,2912.0,2931.3,96296.7
20002,"(2, 0, 1)","(2, 0, 1, 12)",,2939.0,2961.6,673383.6
20002,"(2, 0, 1)","(2, 0, 2, 12)",,3205.1,3230.9,62176856974238.2
20002,"(2, 0, 1)","(2, 1, 0, 12)",,2828.4,2847.4,151522.6
20002,"(2, 0, 1)","(2, 1, 1, 12)",,2811.6,2833.7,123601.2
20002,"(2, 0, 1)","(2, 1, 2, 12)",,2825.2,2850.4,25102162.4
20002,"(2, 0, 2)","(0, 0, 0, 12)",,3299.9,3316.6,96292.4
20002,"(2, 0, 2)","(0, 0, 1, 12)",,3258.4,3278.1,67818.7
